Test: [40/1202]	Time 7.405 (1.990)	Loss 0.1177 (0.0231)	Prec@1 96.667 (99.106)	Prec@5 100.000 (100.000)
Test: [60/1202]	Time 5.684 (1.967)	Loss 0.0051 (0.0282)	Prec@1 100.000 (98.907)	Prec@5 100.000 (100.000)
Test: [80/1202]	Time 5.647 (1.951)	Loss 0.0041 (0.0227)	Prec@1 100.000 (99.177)	Prec@5 100.000 (100.000)
Test: [100/1202]	Time 4.633 (1.902)	Loss 0.0198 (0.0307)	Prec@1 100.000 (98.878)	Prec@5 100.000 (100.000)
Test: [120/1202]	Time 5.048 (1.801)	Loss 0.0002 (0.0269)	Prec@1 100.000 (99.008)	Prec@5 100.000 (100.000)
Test: [140/1202]	Time 4.282 (1.750)	Loss 0.0044 (0.0248)	Prec@1 100.000 (99.078)	Prec@5 100.000 (100.000)
Test: [160/1202]	Time 5.095 (1.719)	Loss 0.5306 (0.0330)	Prec@1 90.000 (98.882)	Prec@5 100.000 (100.000)
Test: [180/1202]	Time 3.985 (1.688)	Loss 0.0087 (0.0339)	Prec@1 100.000 (98.858)	Prec@5 100.000 (100.000)
Test: [200/1202]	Time 5.988 (1.657)	Loss 0.0050 (0.0344)	Prec@1 100.000 (98.889)	Prec@5 100.000 (100.000)
Test: [220/1202]	Time 5.421 (1.637)	Loss 0.2947 (0.0416)	Prec@1 83.333 (98.612)	Prec@5 100.000 (100.000)
Test: [240/1202]	Time 6.224 (1.635)	Loss 0.0030 (0.0412)	Prec@1 100.000 (98.603)	Prec@5 100.000 (100.000)
Test: [260/1202]	Time 4.647 (1.623)	Loss 0.0014 (0.0485)	Prec@1 100.000 (98.340)	Prec@5 100.000 (100.000)
Test: [280/1202]	Time 6.015 (1.608)	Loss 0.0046 (0.0466)	Prec@1 100.000 (98.399)	Prec@5 100.000 (100.000)
Test: [300/1202]	Time 5.974 (1.593)	Loss 0.0054 (0.0452)	Prec@1 100.000 (98.450)	Prec@5 100.000 (100.000)
Test: [320/1202]	Time 4.892 (1.581)	Loss 0.0026 (0.0435)	Prec@1 100.000 (98.505)	Prec@5 100.000 (100.000)
Test: [340/1202]	Time 5.895 (1.578)	Loss 0.0058 (0.0449)	Prec@1 100.000 (98.485)	Prec@5 100.000 (100.000)
Test: [360/1202]	Time 4.516 (1.567)	Loss 0.0219 (0.0435)	Prec@1 100.000 (98.541)	Prec@5 100.000 (100.000)
Test: [380/1202]	Time 4.906 (1.555)	Loss 0.0002 (0.0436)	Prec@1 100.000 (98.521)	Prec@5 100.000 (100.000)
Test: [400/1202]	Time 4.481 (1.551)	Loss 0.0207 (0.0590)	Prec@1 100.000 (97.980)	Prec@5 100.000 (100.000)
Test: [420/1202]	Time 5.621 (1.545)	Loss 0.0072 (0.0581)	Prec@1 100.000 (98.013)	Prec@5 100.000 (100.000)
Test: [440/1202]	Time 6.076 (1.543)	Loss 0.0001 (0.0561)	Prec@1 100.000 (98.095)	Prec@5 100.000 (100.000)
Test: [460/1202]	Time 6.308 (1.538)	Loss 0.0070 (0.0546)	Prec@1 100.000 (98.149)	Prec@5 100.000 (100.000)
Test: [480/1202]	Time 4.698 (1.533)	Loss 0.0019 (0.0523)	Prec@1 100.000 (98.226)	Prec@5 100.000 (100.000)
Test: [500/1202]	Time 5.025 (1.532)	Loss 0.0048 (0.0504)	Prec@1 100.000 (98.297)	Prec@5 100.000 (100.000)
