Epoch: [2][40/1085], lr: 0.00500	Time 7.495 (1.761)	Data 6.823 (1.095)	Loss 0.0578 (0.1402)	Prec@1 96.667 (95.691)	Prec@5 100.000 (99.350)
Epoch: [2][60/1085], lr: 0.00500	Time 7.113 (1.790)	Data 6.439 (1.123)	Loss 0.0711 (0.1383)	Prec@1 100.000 (95.956)	Prec@5 100.000 (99.399)
Epoch: [2][80/1085], lr: 0.00500	Time 6.323 (1.786)	Data 5.642 (1.119)	Loss 0.0900 (0.1340)	Prec@1 96.667 (96.049)	Prec@5 100.000 (99.424)
Epoch: [2][100/1085], lr: 0.00500	Time 4.489 (1.766)	Data 3.816 (1.099)	Loss 0.0488 (0.1305)	Prec@1 96.667 (96.073)	Prec@5 100.000 (99.439)
Epoch: [2][120/1085], lr: 0.00500	Time 4.155 (1.773)	Data 3.489 (1.106)	Loss 0.3169 (0.1350)	Prec@1 90.000 (96.061)	Prec@5 96.667 (99.366)
Epoch: [2][140/1085], lr: 0.00500	Time 4.926 (1.773)	Data 4.251 (1.106)	Loss 0.2442 (0.1344)	Prec@1 93.333 (96.052)	Prec@5 96.667 (99.433)
Epoch: [2][160/1085], lr: 0.00500	Time 5.291 (1.786)	Data 4.614 (1.119)	Loss 0.0446 (0.1389)	Prec@1 100.000 (95.880)	Prec@5 100.000 (99.441)
Epoch: [2][180/1085], lr: 0.00500	Time 2.237 (1.779)	Data 1.573 (1.112)	Loss 0.3413 (0.1387)	Prec@1 86.667 (95.912)	Prec@5 96.667 (99.392)
Epoch: [2][200/1085], lr: 0.00500	Time 2.001 (1.777)	Data 1.326 (1.110)	Loss 0.2938 (0.1432)	Prec@1 90.000 (95.804)	Prec@5 100.000 (99.420)
Epoch: [2][220/1085], lr: 0.00500	Time 2.916 (1.780)	Data 2.238 (1.113)	Loss 0.0779 (0.1424)	Prec@1 100.000 (95.777)	Prec@5 100.000 (99.412)
Epoch: [2][240/1085], lr: 0.00500	Time 2.060 (1.775)	Data 1.386 (1.108)	Loss 0.0588 (0.1448)	Prec@1 100.000 (95.726)	Prec@5 100.000 (99.405)
Epoch: [2][260/1085], lr: 0.00500	Time 2.165 (1.777)	Data 1.489 (1.109)	Loss 0.0985 (0.1473)	Prec@1 96.667 (95.632)	Prec@5 100.000 (99.413)
Epoch: [2][280/1085], lr: 0.00500	Time 0.947 (1.774)	Data 0.276 (1.106)	Loss 0.0671 (0.1487)	Prec@1 96.667 (95.552)	Prec@5 100.000 (99.431)
Epoch: [2][300/1085], lr: 0.00500	Time 2.103 (1.777)	Data 1.438 (1.110)	Loss 0.0398 (0.1516)	Prec@1 100.000 (95.482)	Prec@5 100.000 (99.435)
Epoch: [2][320/1085], lr: 0.00500	Time 0.705 (1.779)	Data 0.042 (1.111)	Loss 0.2107 (0.1498)	Prec@1 93.333 (95.587)	Prec@5 100.000 (99.460)
Epoch: [2][340/1085], lr: 0.00500	Time 0.664 (1.783)	Data 0.000 (1.115)	Loss 0.2190 (0.1505)	Prec@1 93.333 (95.582)	Prec@5 96.667 (99.443)
Epoch: [2][360/1085], lr: 0.00500	Time 0.666 (1.783)	Data 0.000 (1.116)	Loss 0.2099 (0.1516)	Prec@1 93.333 (95.596)	Prec@5 96.667 (99.437)
Epoch: [2][380/1085], lr: 0.00500	Time 0.664 (1.785)	Data 0.000 (1.117)	Loss 0.1962 (0.1525)	Prec@1 96.667 (95.564)	Prec@5 100.000 (99.431)
Epoch: [2][400/1085], lr: 0.00500	Time 0.665 (1.789)	Data 0.000 (1.121)	Loss 0.2589 (0.1533)	Prec@1 93.333 (95.569)	Prec@5 100.000 (99.418)
Epoch: [2][420/1085], lr: 0.00500	Time 0.665 (1.782)	Data 0.000 (1.114)	Loss 0.0890 (0.1532)	Prec@1 96.667 (95.542)	Prec@5 100.000 (99.438)
Epoch: [2][440/1085], lr: 0.00500	Time 0.664 (1.785)	Data 0.000 (1.117)	Loss 0.0790 (0.1527)	Prec@1 100.000 (95.518)	Prec@5 100.000 (99.456)
Epoch: [2][460/1085], lr: 0.00500	Time 0.665 (1.784)	Data 0.000 (1.117)	Loss 0.0204 (0.1519)	Prec@1 100.000 (95.589)	Prec@5 100.000 (99.450)
Epoch: [2][480/1085], lr: 0.00500	Time 0.666 (1.784)	Data 0.000 (1.116)	Loss 0.4142 (0.1530)	Prec@1 93.333 (95.551)	Prec@5 96.667 (99.432)
Epoch: [2][500/1085], lr: 0.00500	Time 0.665 (1.787)	Data 0.000 (1.119)	Loss 0.2092 (0.1520)	Prec@1 96.667 (95.595)	Prec@5 100.000 (99.454)
Epoch: [2][520/1085], lr: 0.00500	Time 0.664 (1.790)	Data 0.000 (1.122)	Loss 0.1311 (0.1521)	Prec@1 96.667 (95.617)	Prec@5 100.000 (99.456)
Epoch: [2][540/1085], lr: 0.00500	Time 0.665 (1.788)	Data 0.000 (1.120)	Loss 0.1097 (0.1529)	Prec@1 93.333 (95.558)	Prec@5 100.000 (99.464)
Epoch: [2][560/1085], lr: 0.00500	Time 0.664 (1.787)	Data 0.000 (1.119)	Loss 0.1654 (0.1520)	Prec@1 96.667 (95.579)	Prec@5 100.000 (99.471)
Epoch: [2][580/1085], lr: 0.00500	Time 0.664 (1.786)	Data 0.000 (1.118)	Loss 0.0197 (0.1517)	Prec@1 100.000 (95.577)	Prec@5 100.000 (99.478)
Epoch: [2][600/1085], lr: 0.00500	Time 0.664 (1.787)	Data 0.000 (1.119)	Loss 0.0873 (0.1526)	Prec@1 100.000 (95.563)	Prec@5 100.000 (99.468)
Epoch: [2][620/1085], lr: 0.00500	Time 0.664 (1.792)	Data 0.000 (1.124)	Loss 0.5380 (0.1525)	Prec@1 86.667 (95.550)	Prec@5 96.667 (99.474)
Epoch: [2][640/1085], lr: 0.00500	Time 0.664 (1.792)	Data 0.000 (1.124)	Loss 0.1178 (0.1519)	Prec@1 93.333 (95.549)	Prec@5 100.000 (99.490)
Epoch: [2][660/1085], lr: 0.00500	Time 0.663 (1.789)	Data 0.000 (1.121)	Loss 0.2451 (0.1515)	Prec@1 93.333 (95.562)	Prec@5 96.667 (99.501)
Epoch: [2][680/1085], lr: 0.00500	Time 0.663 (1.793)	Data 0.000 (1.125)	Loss 0.2102 (0.1517)	Prec@1 90.000 (95.551)	Prec@5 100.000 (99.506)
